,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
179,2024-08-17,20:00,Liga 1,Torneo Clausura,Sat,Away,D,0,0,Sporting Cristal,,,Hernán Barcos,3-5-2,4-2-3-1,,Match Report,
180,2024-08-20,20:30,Liga 1,Torneo Clausura,Tue,Home,W,3,0,Cienciano,,,Carlos Zambrano,4-3-3,5-3-2,,Match Report,
181,2024-08-24,15:20,Liga 1,Torneo Clausura,Sat,Away,W,1,0,CDC Santa Rosa,,,Carlos Zambrano,4-3-3,4-3-3,,Match Report,
182,2024-09-14,19:00,Liga 1,Torneo Clausura,Sat,Home,W,1,0,Mannucci,,,Hernán Barcos,3-4-3,4-2-3-1,Michael Espinoza,Match Report,
183,2024-09-18,13:00,Liga 1,Torneo Clausura,Wed,Away,L,0,1,Atlético Grau,,,Hernán Barcos,5-4-1,4-2-3-1,Joel Alarcón,Match Report,
184,2024-09-21,20:30,Liga 1,Torneo Clausura,Sat,Away,W,3,0,Sport Boys,,,Carlos Zambrano,5-3-2,4-4-2,Diego Haro,Match Report,
185,2024-09-28,20:30,Liga 1,Torneo Clausura,Sat,Home,D,1,1,Melgar,,,Carlos Zambrano,5-3-2,4-2-3-1,Roberto Pérez,Match Report,
186,2024-10-18,15:00,Liga 1,Torneo Clausura,Fri,Away,W,1,0,UTC,,,Hernán Barcos,3-5-2,3-5-2,Michael Espinoza,Match Report,
187,2024-10-22,20:15,Liga 1,Torneo Clausura,Tue,Home,W,2,1,Sport Huancayo,,,Carlos Zambrano,4-4-2,4-2-3-1,Daniel Ureta,Match Report,
188,2024-10-26,18:00,Liga 1,Torneo Clausura,Sat,Away,W,2,1,Deportivo Garcilaso,,,Carlos Zambrano,3-4-3,4-4-2,Micke Palomino,Match Report,
189,2024-11-03,15:00,Liga 1,Torneo Clausura,Sun,Home,L,1,2,Cusco,,,Carlos Zambrano,3-4-3,4-2-3-1,Fernando Legario,Match Report,
