,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
56,2022-02-20,19:00,Liga 1,Torneo Apertura,Sun,Home,D,0,0,ADT Tarma,,,Adrián Ugarriza,3-5-2,4-2-3-1,Jesús Cartagena,Match Report,
57,2022-02-25,19:00,Liga 1,Torneo Apertura,Fri,Away,L,2,3,Binacional,,,Adrián Ugarriza,4-4-2,4-2-3-1,Edwin Ordóñez,Match Report,
58,2022-03-04,19:00,Liga 1,Torneo Apertura,Fri,Home,W,3,1,Ayacucho,,,Koichi Aparicio,4-3-3,4-3-3,Micke Palomino,Match Report,
59,2022-03-08,19:30,Sudamericana,First stage,Tue,Home,D,1,1,pe Melgar,45,,Adrián Ugarriza,4-2-3-1,4-4-2,Nicolás Gamboa,Match Report,Leg 1 of 2
60,2022-03-12,19:30,Liga 1,Torneo Apertura,Sat,Away,D,1,1,Universitario,,,Koichi Aparicio,4-2-3-1,4-2-3-1,Luis Seminario,Match Report,
61,2022-03-15,19:30,Sudamericana,First stage,Tue,Away,L,0,1,pe Melgar,46,,Adrián Ugarriza,4-2-3-1,4-3-3,Andrés Rojas,Match Report,Leg 2 of 2; Melgar won
62,2022-03-19,15:30,Liga 1,Torneo Apertura,Sat,Home,W,4,1,Sport Boys,,,Adrián Ugarriza,4-3-3,4-3-3,Luis Garay Evia,Match Report,
63,2022-04-03,15:00,Liga 1,Torneo Apertura,Sun,Away,W,2,1,Atlético Grau,,,Adrián Ugarriza,4-2-3-1,4-2-3-1,Jordy Espinoza,Match Report,
64,2022-04-09,19:00,Liga 1,Torneo Apertura,Sat,Home,W,5,0,Alianza Atlético,,,Adrián Ugarriza,4-3-3,4-4-2,Jesús Cartagena,Match Report,
65,2022-04-16,13:15,Liga 1,Torneo Apertura,Sat,Away,W,2,0,Mannucci,,,Adrián Ugarriza,4-3-3,4-2-3-1,Edwin Ordóñez,Match Report,
66,2022-04-22,19:00,Liga 1,Torneo Apertura,Fri,Home,L,0,1,Sporting Cristal,,,Adrián Ugarriza,4-3-3,4-4-1-1,Luis Seminario,Match Report,
67,2022-04-30,15:30,Liga 1,Torneo Apertura,Sat,Away,L,0,1,Melgar,,,Adrián Ugarriza,4-2-3-1,4-3-3,Michael Espinoza,Match Report,
68,2022-05-15,18:00,Liga 1,Torneo Apertura,Sun,Away,D,3,3,Sport Huancayo,,,Adrián Ugarriza,4-3-3,5-3-2,Jordy Espinoza,Match Report,
69,2022-05-21,15:30,Liga 1,Torneo Apertura,Sat,Home,W,3,2,UTC,,,Carlos Javier Beltrán,4-4-2,4-3-3,Jonathan Zamora,Match Report,
70,2022-05-30,19:00,Liga 1,Torneo Apertura,Mon,Away,L,0,1,Alianza Lima,,,Adrián Ugarriza,4-3-3,4-4-2,Roberto Pérez,Match Report,
71,2022-06-18,15:30,Liga 1,Torneo Apertura,Sat,Home,W,1,0,Cantolao,,,Adrián Ugarriza,4-3-3,4-2-3-1,Jonathan Zamora,Match Report,
72,2022-06-26,13:00,Liga 1,Torneo Apertura,Sun,Away,D,2,2,Carlos Stein,,,Adrián Ugarriza,4-4-2,4-5-1,Hibert Villegas,Match Report,
73,2022-07-02,15:15,Liga 1,Torneo Apertura,Sat,Home,W,5,3,USMP,,,Adrián Ugarriza,4-3-3,4-2-3-1,Julio Quiróz,Match Report,
74,2022-07-09,18:00,Liga 1,Torneo Clausura,Sat,Home,W,2,0,U César Vallejo,,,Adrián Ugarriza,4-4-2,3-4-3,Beider Joel Vásquez Guevara,Match Report,
75,2022-07-15,15:30,Liga 1,Torneo Clausura,Fri,Away,D,0,0,Dep Municipal,,,Adrián Ugarriza,4-4-2,4-2-3-1,Wilfredo Blas,Match Report,
76,2022-07-24,15:00,Liga 1,Torneo Clausura,Sun,Away,W,1,0,ADT Tarma,,,Adrián Ugarriza,3-5-2,4-3-3,Sebastián Lozano,Match Report,
