,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
52,2021-09-17,18:00,Liga 1,Torneo Clausura,Fri,Away,D,1,1,Melgar,,,Pablo Lavandeira,4-2-3-1,4-3-3,Augusto Menéndez,Match Report,
53,2021-09-21,15:30,Liga 1,Torneo Clausura,Tue,Home,L,0,1,Alianza Atlético,,,Pablo Lavandeira,4-2-3-1,4-4-1-1,Alejandro Villanueva,Match Report,
54,2021-09-25,11:00,Liga 1,Torneo Clausura,Sat,Away,W,2,0,UTC,,,Robert Ardiles,4-2-3-1,4-4-2,Edwin Ordóñez,Match Report,
55,2021-10-01,10:30,Liga 1,Torneo Clausura,Fri,Home,W,3,2,Mannucci,,,Robert Ardiles,4-1-4-1,4-1-4-1,Pablo López,Match Report,
56,2021-10-17,15:30,Liga 1,Torneo Clausura,Sun,Away,L,0,1,Sporting Cristal,,,Robert Ardiles,4-3-3,4-3-3,Fernando Legario,Match Report,
57,2021-10-22,13:15,Liga 1,Torneo Clausura,Fri,Home,L,1,3,Cienciano,,,Robert Ardiles,4-3-3,4-2-3-1,Víctor Carrillo,Match Report,
58,2021-10-30,15:00,Liga 1,Torneo Clausura,Sat,Away,W,2,1,Alianza Univ,,,Robert Ardiles,4-3-3,4-2-3-1,Diego Haro,Match Report,
59,2022-02-05,13:15,Liga 1,Torneo Apertura,Sat,Away,L,2,3,Dep Municipal,,,Minzum Quina,5-3-2,4-3-3,Joel Alarcón,Match Report,
60,2022-02-12,15:30,Liga 1,Torneo Apertura,Sat,Home,W,2,1,Carlos Stein,,,Robert Ardiles,5-3-2,4-2-3-1,Jesús Cartagena,Match Report,
61,2022-02-20,13:15,Liga 1,Torneo Apertura,Sun,Away,L,1,2,U César Vallejo,,,Minzum Quina,3-4-3,4-3-3,Roberto Pérez,Match Report,
62,2022-02-26,15:30,Liga 1,Torneo Apertura,Sat,Home,W,5,0,USMP,,,Minzum Quina,3-4-3,4-3-3,Fernando Legario,Match Report,
63,2022-03-04,19:00,Liga 1,Torneo Apertura,Fri,Away,L,1,3,Cienciano,,,Robert Ardiles,4-3-3,4-3-3,Micke Palomino,Match Report,
64,2022-03-09,19:30,Sudamericana,First stage,Wed,Home,W,2,0,pe Sport Boys,45,,Minzum Quina,3-4-3,4-2-3-1,Piero Maza,Match Report,Leg 1 of 2
65,2022-03-13,15:30,Liga 1,Torneo Apertura,Sun,Home,L,2,3,Binacional,,,Robert Ardiles,4-4-1-1,4-3-3,Fernando Legario,Match Report,
66,2022-03-16,19:30,Sudamericana,First stage,Wed,Away,L,2,3,pe Sport Boys,31,,Minzum Quina,3-4-3,4-3-3,Ivo Méndez,Match Report,Leg 2 of 2; Ayacucho won
67,2022-03-20,15:30,Liga 1,Torneo Apertura,Sun,Away,D,0,0,ADT Tarma,,,Minzum Quina,4-4-2,4-4-2,Jordy Espinoza,Match Report,
68,2022-04-01,15:30,Liga 1,Torneo Apertura,Fri,Home,W,3,2,UTC,,,Robert Ardiles,3-4-3,4-3-3,David Huaman,Match Report,
69,2022-04-07,19:30,Sudamericana,Group stage,Thu,Home,L,2,3,br São Paulo,22,,Minzum Quina,3-5-2,4-3-3,Augusto Aragón,Match Report,
