,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
15,2021-08-19,11:00,Liga 1,Torneo Clausura,Thu,Home,L,1,2,Alianza Univ,,,Rinaldo Cruzado,4-2-3-1,4-2-3-1,Michael Espinoza,Match Report,
16,2021-08-23,13:15,Liga 1,Torneo Clausura,Mon,Away,L,1,3,UTC,,,Rinaldo Cruzado,4-2-3-1,4-2-3-1,Diego Haro,Match Report,
17,2021-08-28,11:00,Liga 1,Torneo Clausura,Sat,Home,W,2,0,Mannucci,,,Frank Aivar,4-3-3,4-4-2,Alejandro Villanueva,Match Report,
18,2021-09-12,15:30,Liga 1,Torneo Clausura,Sun,Away,L,2,5,Sporting Cristal,,,Frank Aivar,4-3-3,4-2-3-1,Luis Garay Evia,Match Report,
19,2021-09-17,11:00,Liga 1,Torneo Clausura,Fri,Home,D,2,2,Cienciano,,,Frank Aivar,4-5-1,4-3-3,José Mendoza,Match Report,
20,2021-09-21,15:30,Liga 1,Torneo Clausura,Tue,Away,W,1,0,Ayacucho,,,Frank Aivar,4-4-1-1,4-2-3-1,Alejandro Villanueva,Match Report,
21,2021-09-25,15:30,Liga 1,Torneo Clausura,Sat,Home,L,1,3,Alianza Lima,,,Frank Aivar,4-4-1-1,3-4-1-2,Augusto Menéndez,Match Report,
22,2021-10-01,13:00,Liga 1,Torneo Clausura,Fri,Away,L,1,3,Sport Boys,,,Frank Aivar,4-2-3-1,3-4-3,Luis Seminario,Match Report,
23,2021-10-16,11:00,Liga 1,Torneo Clausura,Sat,Home,W,3,1,Cantolao,,,Frank Aivar,4-4-2◆,4-2-3-1,Micke Palomino,Match Report,
24,2021-10-23,13:15,Liga 1,Torneo Clausura,Sat,Away,L,1,3,USMP,,,Frank Aivar,4-3-3,4-1-4-1,Edwin Ordóñez,Match Report,
25,2021-10-30,15:00,Liga 1,Torneo Clausura,Sat,Home,L,0,2,Dep Municipal,,,Jesús Arismendi,4-2-3-1,4-2-3-1,David Huaman,Match Report,
26,2022-02-12,13:15,Liga 1,Torneo Apertura,Sat,Home,W,1,0,UTC,,,Diego Penny,4-2-3-1,4-2-3-1,Micke Palomino,Match Report,
27,2022-02-20,11:00,Liga 1,Torneo Apertura,Sun,Away,W,3,1,Cantolao,,,Diego Penny,4-2-3-1,4-4-1-1,Pablo López,Match Report,
28,2022-02-27,13:15,Liga 1,Torneo Apertura,Sun,Home,W,4,2,Alianza Lima,,,Diego Penny,4-2-3-1,5-3-2,Michael Espinoza,Match Report,
