DateTime,Day,Time,Round,Home Team,Away Team,GF,GA,Formation,Opp Formation,Result,HGS,AGS,HGC,AGC,MW,HTP,ATP,HUS,AUS,HLS,ALS,1_RHT,2_RHT,3_RHT,4_RHT,5_RHT,1_RAT,2_RAT,3_RAT,4_RAT,5_RAT,HGD,AGD,PD,HGDForm,AGDForm,HTPForm,ATPForm,PDForm
2023-07-17 15:00:00,0,15:00,Torneo Clausura,Dep Municipal,Melgar,0,1,4-2-3-1,3-4-3,0,15.0,33.0,18.0,24.0,24.0,17.0,32.0,0.0,7.0,1.0,0.0,L,W,L,L,L,W,D,W,W,D,-3.0,9.0,-15.0,-0.125,0.375,0.7083333333333334,1.3333333333333333,-0.6249999999999999
2023-07-21 19:45:00,4,19:45,Torneo Clausura,Cienciano,Sport Huancayo,1,0,5-4-1,4-2-3-1,1,29.0,35.0,31.0,26.0,26.0,30.0,34.0,4.0,4.0,0.0,0.0,D,D,W,D,L,W,D,W,W,L,-2.0,9.0,-4.0,-0.07692307692307693,0.34615384615384615,1.1538461538461537,1.3076923076923077,-0.15384615384615397
2023-07-22 13:00:00,5,13:00,Torneo Clausura,Alianza Atlético,Cusco,2,0,3-4-3,3-4-3,1,34.0,27.0,39.0,26.0,26.0,24.0,36.0,1.0,1.0,0.0,0.0,D,L,L,L,D,D,L,W,W,L,-5.0,1.0,-12.0,-0.19230769230769232,0.038461538461538464,0.9230769230769231,1.3846153846153846,-0.46153846153846145
2023-07-22 20:30:00,5,20:30,Torneo Clausura,Alianza Lima,Universitario,0,0,4-2-3-1,3-4-1-2,0,40.0,38.0,17.0,16.0,25.0,49.0,44.0,0.0,4.0,1.0,0.0,L,D,W,W,W,W,W,W,D,L,23.0,22.0,5.0,0.92,0.88,1.96,1.76,0.19999999999999996
2023-07-23 13:00:00,6,13:00,Torneo Clausura,Cantolao,UTC,2,0,5-3-2,4-2-3-1,1,9.0,20.0,35.0,27.0,26.0,12.0,24.0,0.0,3.0,1.0,0.0,L,W,L,L,D,D,D,D,L,L,-26.0,-7.0,-12.0,-1.0,-0.2692307692307692,0.46153846153846156,0.9230769230769231,-0.46153846153846156
2023-07-23 15:00:00,6,15:00,Torneo Clausura,Mannucci,Sport Boys,0,0,4-4-2,4-3-3,0,14.0,17.0,20.0,28.0,25.0,21.0,27.0,0.0,2.0,1.0,0.0,L,W,L,D,L,W,W,L,W,W,-6.0,-11.0,-6.0,-0.24,-0.44,0.84,1.08,-0.2400000000000001
2023-07-23 15:30:00,6,15:30,Torneo Clausura,ADT Tarma,Atlético Grau,1,0,4-2-3-1,4-2-3-1,1,27.0,33.0,28.0,29.0,25.0,27.0,26.0,2.0,1.0,0.0,0.0,W,W,L,D,W,W,L,L,L,D,-1.0,4.0,1.0,-0.04,0.16,1.08,1.04,0.040000000000000036
2023-07-23 15:30:00,6,15:30,Torneo Clausura,Melgar,Sporting Cristal,1,1,3-4-3,4-3-3,0,34.0,41.0,24.0,20.0,25.0,35.0,45.0,8.0,12.0,0.0,0.0,W,W,D,W,W,W,D,W,W,D,10.0,21.0,-10.0,0.4,0.84,1.4,1.8,-0.40000000000000013
2023-07-24 13:00:00,0,13:00,Torneo Clausura,Binacional,Dep Municipal,4,1,4-2-3-1,4-4-2,1,30.0,15.0,43.0,19.0,25.0,18.0,17.0,0.0,0.0,4.0,2.0,L,L,L,L,W,L,L,W,L,L,-13.0,-4.0,1.0,-0.52,-0.16,0.72,0.68,0.039999999999999925
2023-07-27 15:00:00,3,15:00,Torneo Clausura,Sporting Cristal,Binacional,5,0,4-3-3,4-2-3-1,1,42.0,34.0,21.0,44.0,26.0,46.0,21.0,13.0,1.0,0.0,0.0,D,W,D,W,W,W,L,L,L,L,21.0,-10.0,25.0,0.8076923076923077,-0.38461538461538464,1.7692307692307692,0.8076923076923077,0.9615384615384615
